LOCATION,TIME,NTRVAL
AUS,1959,1221.21
AUS,1960,467.848
AUS,1961,3915.866
AUS,1962,1787.544
AUS,1963,2725.988
AUS,1964,83.385
AUS,1965,-125.865
AUS,1966,1406.383
AUS,1967,612.086
AUS,1968,1223.896
AUS,1969,2983.638
AUS,1970,4651.015
AUS,1971,8326.401
AUS,1972,8642.889
AUS,1973,825.695
AUS,1974,2790.903
AUS,1975,5261.959
AUS,1976,5032.129
AUS,1977,7082.211
AUS,1978,7325.961
AUS,1979,9846.118
AUS,1980,5248.642
AUS,1981,2473.02
AUS,1982,5635.111
AUS,1983,6593.455
AUS,1984,7201.801
AUS,1985,9073.721
AUS,1986,15839.64
AUS,1987,16128.982
AUS,1988,6266.44
AUS,1989,6061.14
AUS,1990,16159.452
AUS,1991,20802.917
AUS,1992,22786.66
AUS,1993,26095.845
AUS,1994,19846.304
AUS,1995,25629.582
AUS,1996,29166.502
AUS,1997,25796.047
AUS,1998,23363.397
AUS,1999,23599.645
AUS,2000,36007.915
AUS,2001,33866.147
AUS,2002,20302.333
AUS,2003,5664.981
AUS,2004,-6706.203
AUS,2005,-15465.749
AUS,2006,-26637.888
AUS,2007,-47303.353
AUS,2008,-35308.414
AUS,2009,-41589.929
AUS,2010,-63089.556
AUS,2011,-82316.35
AUS,2012,-74174.369
AUS,2013,-54130.745
AUS,2014,-43690.482
AUS,2015,-28370.728
AUS,2016,-29259.619
AUS,2017,-38491.879
AUS,2018,-28872.997
AUS,2019,-12257.835
AUS,2020,-25353.201
AUS,2021,-44860.871
AUT,1970,-3481.704
AUT,1971,-3673.756
AUT,1972,-4594.383
AUT,1973,-6107.092
AUT,1974,-5481.04
AUT,1975,-4540.552
AUT,1976,-7222.93
AUT,1977,-9830.607
AUT,1978,-6437.398
AUT,1979,-6700.316
AUT,1980,-7912.445
AUT,1981,-5533.667
AUT,1982,-3754.681
AUT,1983,-5065.188
AUT,1984,-4643.732
AUT,1985,-3228.271
AUT,1986,-3386.525
AUT,1987,-3721.668
AUT,1988,-4700.666
AUT,1989,-4957.137
AUT,1990,-4977.768
AUT,1991,-6729.756
AUT,1992,-7436.255
AUT,1993,-4792.55
AUT,1994,-8539.628
AUT,1995,-8081.292
AUT,1996,-8047.308
AUT,1997,-5512.404
AUT,1998,-3899.561
AUT,1999,-1701.516
AUT,2000,1657.823
AUT,2001,2439.087
AUT,2002,7522.986
AUT,2003,3843.375
AUT,2004,5063.662
AUT,2005,7091.518
AUT,2006,10164.924
AUT,2007,13954.799
AUT,2008,16261.42
AUT,2009,9819.322
AUT,2010,12810.469
AUT,2011,13539.796
AUT,2012,14627.962
AUT,2013,14628.007
AUT,2014,14928.496
AUT,2015,14326.996
AUT,2016,13364.97
AUT,2017,13254.851
AUT,2018,13636.668
AUT,2019,18294.581
AUT,2020,13197.279
AUT,2021,6186.988
AUT,2022,19166.38
BEL,1970,-591.99
BEL,1971,-124.036
BEL,1972,748.566
BEL,1973,-2059.809
BEL,1974,-2686.596
BEL,1975,-1819.659
BEL,1976,-1699.875
BEL,1977,-3909.628
BEL,1978,-4330.212
BEL,1979,-6374.516
BEL,1980,-4650.684
BEL,1981,249.579
BEL,1982,1582.577
BEL,1983,5266.079
BEL,1984,5680.923
BEL,1985,5625.776
BEL,1986,3936.037
BEL,1987,2270.604
BEL,1988,1613.926
BEL,1989,-147.308
BEL,1990,-551.069
BEL,1991,-290.872
BEL,1992,-955.568
BEL,1993,-1074.56
BEL,1994,414.074
BEL,1995,984.804
BEL,1996,54.255
BEL,1997,2360.045
BEL,1998,679.244
BEL,1999,3708.547
BEL,2000,2870.199
BEL,2001,5574.526
BEL,2002,11397.915
BEL,2003,11952.782
BEL,2004,12419.665
BEL,2005,10755.396
BEL,2006,12894.204
BEL,2007,13183.787
BEL,2008,7368.053
BEL,2009,5227.137
BEL,2010,7879.428
BEL,2011,5187.195
BEL,2012,5772.685
BEL,2013,7621.466
BEL,2014,6949.878
BEL,2015,6556.001
BEL,2016,2548.995
BEL,2017,3644.306
BEL,2018,91.646
BEL,2019,1853.774
BEL,2020,4049.5
BEL,2021,6831.271
BEL,2022,9301.601
CAN,1961,3736.578
CAN,1962,4657.918
CAN,1963,7347.795
CAN,1964,8658.179
CAN,1965,5683.555
CAN,1966,6328.816
CAN,1967,9488.911
CAN,1968,11680.395
CAN,1969,9539.833
CAN,1970,17268.835
CAN,1971,16829.182
CAN,1972,14452.573
CAN,1973,12042.848
CAN,1974,-1312.133
CAN,1975,-6119.844
CAN,1976,-5049.992
CAN,1977,1675.826
CAN,1978,8504.767
CAN,1979,5580.348
CAN,1980,10302.142
CAN,1981,9733.906
CAN,1982,25525.194
CAN,1983,23007.734
CAN,1984,28552.151
CAN,1985,25320.905
CAN,1986,23780.815
CAN,1987,21498.025
CAN,1988,17037.367
CAN,1989,9019.539
CAN,1990,13976.171
CAN,1991,12620.453
CAN,1992,17763.32
CAN,1993,26029.638
CAN,1994,38675.015
CAN,1995,48982.428
CAN,1996,52638.962
CAN,1997,42832.59
CAN,1998,58907.197
CAN,1999,73590.236
CAN,2000,81974.903
CAN,2001,86639.092
CAN,2002,85591.958
CAN,2003,63924.328
CAN,2004,56915.023
CAN,2005,38683.072
CAN,2006,20698.162
CAN,2007,772.077
CAN,2008,-24276.327
CAN,2009,-23776.344
CAN,2010,-54268.385
CAN,2011,-60433.009
CAN,2012,-66499.807
CAN,2013,-66194.141
CAN,2014,-50773.781
CAN,2015,-38367.633
CAN,2016,-31665.174
CAN,2017,-49128.624
CAN,2018,-48073.37
CAN,2019,-35906.317
CAN,2020,-29895.971
CAN,2021,-64163.949
CAN,2022,-92184.563
CZE,1990,733.36
CZE,1991,5985.839
CZE,1992,3884.534
CZE,1993,3134.366
CZE,1994,874.552
CZE,1995,1067.818
CZE,1996,-1711.063
CZE,1997,-1252.95
CZE,1998,86.671
CZE,1999,94.436
CZE,2000,276.437
CZE,2001,-569.622
CZE,2002,-2630.215
CZE,2003,-3204.553
CZE,2004,-1774.643
CZE,2005,2051.08
CZE,2006,4650.765
CZE,2007,3471.884
CZE,2008,4689.344
CZE,2009,5560.811
CZE,2010,6233.081
CZE,2011,9468.449
CZE,2012,11785.07
CZE,2013,12051.913
CZE,2014,11547.05
CZE,2015,11172.722
CZE,2016,13780.294
CZE,2017,16139.438
CZE,2018,13554.388
CZE,2019,13647.685
CZE,2020,12823.253
CZE,2021,3990.569
CZE,2022,4188.018
DNK,1967,1562.955
DNK,1968,2348.225
DNK,1969,1155.458
DNK,1970,29.546
DNK,1971,1206.417
DNK,1972,2274.843
DNK,1973,130.016
DNK,1974,1716.941
DNK,1975,2914.516
DNK,1976,-606.634
DNK,1977,235.32
DNK,1978,374.797
DNK,1979,1778.223
DNK,1980,5712.199
DNK,1981,8840.967
DNK,1982,9129.917
DNK,1983,10434.287
DNK,1984,10069.27
DNK,1985,9267.491
DNK,1986,6550.041
DNK,1987,9474.069
DNK,1988,12438.408
DNK,1989,12688.765
DNK,1990,15462.434
DNK,1991,17441.719
DNK,1992,17689.464
DNK,1993,19225.158
DNK,1994,18324.865
DNK,1995,16546.669
DNK,1996,18227.802
DNK,1997,16147.806
DNK,1998,14479.546
DNK,1999,22402.989
DNK,2000,24417.867
DNK,2001,26042.711
DNK,2002,25438.069
DNK,2003,24969.028
DNK,2004,21984.547
DNK,2005,20227.148
DNK,2006,18394.995
DNK,2007,16374.723
DNK,2008,15837.056
DNK,2009,18092.522
DNK,2010,21512.167
DNK,2011,22758.972
DNK,2012,21012.615
DNK,2013,21539.145
DNK,2014,21172.708
DNK,2015,20545.812
DNK,2016,22051.804
DNK,2017,24075.262
DNK,2018,22116.399
DNK,2019,25620.508
DNK,2020,19263.814
DNK,2021,20828.002
DNK,2022,29723.336
FIN,1970,-3348.587
FIN,1971,-3447.495
FIN,1972,-2622.373
FIN,1973,-3626.172
FIN,1974,-4687.938
FIN,1975,-6830.966
FIN,1976,-4950.466
FIN,1977,-2576.767
FIN,1978,-723.648
FIN,1979,-2273.322
FIN,1980,-2547.442
FIN,1981,-448.243
FIN,1982,-1282.597
FIN,1983,-1292.583
FIN,1984,-145.346
FIN,1985,-1415.738
FIN,1986,-1678.693
FIN,1987,-3068.913
FIN,1988,-5128.169
FIN,1989,-7364.947
FIN,1990,-6897.842
FIN,1991,-4618.902
FIN,1992,-2416.519
FIN,1993,1452.352
FIN,1994,1779.659
FIN,1995,2114.732
FIN,1996,1728.621
FIN,1997,2766.016
FIN,1998,3176.535
FIN,1999,6703.677
FIN,2000,8365.727
FIN,2001,8754.057
FIN,2002,8933.798
FIN,2003,5932.565
FIN,2004,6816.847
FIN,2005,4578.96
FIN,2006,7323.895
FIN,2007,9201.19
FIN,2008,8696.362
FIN,2009,4205.054
FIN,2010,4374.809
FIN,2011,1219.355
FIN,2012,488.186
FIN,2013,864.311
FIN,2014,-33.285
FIN,2015,-1333.634
FIN,2016,-2928.005
FIN,2017,835.463
FIN,2018,-3085.555
FIN,2019,950.853
FIN,2020,-741.155
FIN,2021,-813.273
FIN,2022,-6624.901
FRA,1950,3450.042
FRA,1951,2704.906
FRA,1952,1390.781
FRA,1953,1114.472
FRA,1954,2053.088
FRA,1955,1715.916
FRA,1956,-2977.76
FRA,1957,-3240.663
FRA,1958,-1462.179
FRA,1959,1781.608
FRA,1960,3145.758
FRA,1961,2621.06
FRA,1962,576.949
FRA,1963,-1067.379
FRA,1964,-4087.335
FRA,1965,-527.316
FRA,1966,-2808.221
FRA,1967,-4298.092
FRA,1968,-5673.429
FRA,1969,-9886.734
FRA,1970,-4254.602
FRA,1971,-2552.048
FRA,1972,-6382.802
FRA,1973,-9888.836
FRA,1974,-3567.678
FRA,1975,3996.945
FRA,1976,-7702.685
FRA,1977,337.168
FRA,1978,3421.299
FRA,1979,520.309
FRA,1980,-3339.701
FRA,1981,7261.329
FRA,1982,-781.427
FRA,1983,12267.303
FRA,1984,18863.21
FRA,1985,14608.523
FRA,1986,323.416
FRA,1987,-9307.768
FRA,1988,-10056.626
FRA,1989,-7094.97
FRA,1990,-9625.027
FRA,1991,-1526.448
FRA,1992,9666.957
FRA,1993,19900.656
FRA,1994,19656.638
FRA,1995,25244.591
FRA,1996,31983.364
FRA,1997,52270.035
FRA,1998,46264.637
FRA,1999,41558.914
FRA,2000,36763.743
FRA,2001,41168.709
FRA,2002,42243.065
FRA,2003,32664.732
FRA,2004,30189.413
FRA,2005,18948.833
FRA,2006,22325.796
FRA,2007,5288.443
FRA,2008,-70.605
FRA,2009,-9913.058
FRA,2010,-11916.64
FRA,2011,-9358.335
FRA,2012,7989.087
FRA,2013,6304.538
FRA,2014,-4615.771
FRA,2015,-13816.764
FRA,2016,-22824.521
FRA,2017,-24615.296
FRA,2018,-13895.245
FRA,2019,-20233.656
FRA,2020,-51710.301
FRA,2021,-50388.024
FRA,2022,-69204.745
DEU,1970,-8421.788
DEU,1971,-16739.366
DEU,1972,-18287.686
DEU,1973,-7159.828
DEU,1974,13760.017
DEU,1975,-4537.091
DEU,1976,-6179.342
DEU,1977,-5683.452
DEU,1978,-11959.1
DEU,1979,-23750.756
DEU,1980,-18793.431
DEU,1981,7499.45
DEU,1982,19594.755
DEU,1983,11127.552
DEU,1984,21734.787
DEU,1985,33048.02
DEU,1986,19636.794
DEU,1987,8133.413
DEU,1988,9189.963
DEU,1989,15789.129
DEU,1990,19671.571
DEU,1991,22336.392
DEU,1992,7135.488
DEU,1993,10173.39
DEU,1994,9603.455
DEU,1995,8604.517
DEU,1996,18045.695
DEU,1997,35916.53
DEU,1998,28864.289
DEU,1999,8122.455
DEU,2000,29710.325
DEU,2001,67326.241
DEU,2002,121501.359
DEU,2003,96399.917
DEU,2004,136147.384
DEU,2005,151275.437
DEU,2006,179935.186
DEU,2007,222279.813
DEU,2008,222825.083
DEU,2009,142021.134
DEU,2010,177335.653
DEU,2011,203293.894
DEU,2012,241963.27
DEU,2013,224848.734
DEU,2014,246083.457
DEU,2015,255017.1
DEU,2016,234644.213
DEU,2017,241636.363
DEU,2018,221323.534
DEU,2019,200044.997
DEU,2020,169501.993
DEU,2021,196078.144
DEU,2022,153352.789
GRC,1960,-662.921
GRC,1961,-796.373
GRC,1962,-1199.201
GRC,1963,-1406.115
GRC,1964,-2302.617
GRC,1965,-2686.583
GRC,1966,-1954.535
GRC,1967,-2154.446
GRC,1968,-2842.927
GRC,1969,-3401.7
GRC,1970,-3316.761
GRC,1971,-3134.767
GRC,1972,-3130.459
GRC,1973,-4443.658
GRC,1974,-2583.52
GRC,1975,-1916.806
GRC,1976,-1684.612
GRC,1977,-2237.042
GRC,1978,-1535.448
GRC,1979,-597.289
GRC,1980,-406.22
GRC,1981,-124.808
GRC,1982,-2495.309
GRC,1983,-3764.546
GRC,1984,-1924.207
GRC,1985,-2397.981
GRC,1986,-2278.454
GRC,1987,-1651.893
GRC,1988,-3555.133
GRC,1989,-5500.275
GRC,1990,-8185.295
GRC,1991,-8974.013
GRC,1992,-7380.554
GRC,1993,-8097.344
GRC,1994,-7027.421
GRC,1995,-8948.931
GRC,1996,-11148.717
GRC,1997,-8670.818
GRC,1998,-14161.963
GRC,1999,-13226.699
GRC,2000,-15148.25
GRC,2001,-15695.75
GRC,2002,-16934.247
GRC,2003,-21625.379
GRC,2004,-16644.385
GRC,2005,-15548.954
GRC,2006,-21785.056
GRC,2007,-27804.238
GRC,2008,-26882.584
GRC,2009,-20274.057
GRC,2010,-15391.775
GRC,2011,-8496.407
GRC,2012,-4045.522
GRC,2013,-1044.284
GRC,2014,-284.466
GRC,2015,-2002.566
GRC,2016,-3661.705
GRC,2017,-3219.665
GRC,2018,-2788.726
GRC,2019,-1397.85
GRC,2020,-12376.287
GRC,2021,-10625.697
GRC,2022,-15751.326
HUN,1991,397.527
HUN,1992,614.879
HUN,1993,-2879.758
HUN,1994,-2612.592
HUN,1995,-405.882
HUN,1996,-82.393
HUN,1997,-333.796
HUN,1998,-1987.785
HUN,1999,-2626.787
HUN,2000,-2711.8
HUN,2001,-1799.322
HUN,2002,-3095.744
HUN,2003,-4704.612
HUN,2004,-5599.27
HUN,2005,-3546.129
HUN,2006,-1508.686
HUN,2007,-354.549
HUN,2008,272.292
HUN,2009,3229.603
HUN,2010,4605.243
HUN,2011,6811.681
HUN,2012,7909.982
HUN,2013,8223.934
HUN,2014,7528.712
HUN,2015,9679.038
HUN,2016,10380.35
HUN,2017,9067.105
HUN,2018,7302.14
HUN,2019,4362.45
HUN,2020,1121.327
HUN,2021,2677.948
HUN,2022,4004.099
ISL,1970,-92.703
ISL,1971,-571.135
ISL,1972,-395.755
ISL,1973,-646.44
ISL,1974,-968.065
ISL,1975,-607.274
ISL,1976,-320.353
ISL,1977,-595.202
ISL,1978,-392.227
ISL,1979,-316.513
ISL,1980,-332.941
ISL,1981,-453.515
ISL,1982,-662.687
ISL,1983,-121.787
ISL,1984,-305.19
ISL,1985,-291.231
ISL,1986,-148.704
ISL,1987,-799.232
ISL,1988,-731.416
ISL,1989,-251.709
ISL,1990,-286.284
ISL,1991,-653.718
ISL,1992,-496.212
ISL,1993,-51.202
ISL,1994,115.952
ISL,1995,-79.897
ISL,1996,-306.963
ISL,1997,-402.998
ISL,1998,-1260.677
ISL,1999,-1311.921
ISL,2000,-1568.748
ISL,2001,-731.415
ISL,2002,-438.173
ISL,2003,-911.277
ISL,2004,-1337.354
ISL,2005,-2725.216
ISL,2006,-3756.157
ISL,2007,-2387.962
ISL,2008,-434.431
ISL,2009,1507.553
ISL,2010,1448.082
ISL,2011,1310.153
ISL,2012,1297.817
ISL,2013,1800.585
ISL,2014,1490.848
ISL,2015,1311.204
ISL,2016,1172.275
ISL,2017,633.253
ISL,2018,722.723
ISL,2019,1074.616
ISL,2020,-8.788
ISL,2021,-556.878
IRL,1970,-3283.528
IRL,1971,-3474.382
IRL,1972,-3752.881
IRL,1973,-5057.016
IRL,1974,-4700.121
IRL,1975,-2778.693
IRL,1976,-3758.514
IRL,1977,-4184.821
IRL,1978,-5206.755
IRL,1979,-6822.02
IRL,1980,-5118.987
IRL,1981,-5172.943
IRL,1982,-3804.131
IRL,1983,-3129.318
IRL,1984,-2341.931
IRL,1985,-1785.398
IRL,1986,-2440.115
IRL,1987,-1022.304
IRL,1988,-97.94
IRL,1989,-922.674
IRL,1990,66.858
IRL,1991,1089.795
IRL,1992,3049.261
IRL,1993,4081.022
IRL,1994,4569.192
IRL,1995,6984.874
IRL,1996,7643.888
IRL,1997,9489.676
IRL,1998,8394.584
IRL,1999,12341.508
IRL,2000,14489.562
IRL,2001,17552.182
IRL,2002,20154.061
IRL,2003,20788.467
IRL,2004,28256.973
IRL,2005,20031.344
IRL,2006,16299.121
IRL,2007,17002.129
IRL,2008,14505.67
IRL,2009,26405.001
IRL,2010,37389.291
IRL,2011,39366.589
IRL,2012,39388.537
IRL,2013,43947.499
IRL,2014,50232.941
IRL,2015,83921.815
IRL,2016,48563.95
IRL,2017,80644.068
IRL,2018,112610.852
IRL,2019,23558.238
IRL,2020,89507.307
IRL,2021,207069.384
IRL,2022,221145.369
ITA,1970,-10770.339
ITA,1971,-7203.247
ITA,1972,-9304.042
ITA,1973,-13917.465
ITA,1974,-9958.016
ITA,1975,9717.229
ITA,1976,9147.774
ITA,1977,21226.448
ITA,1978,29606.79
ITA,1979,26398.329
ITA,1980,3679.328
ITA,1981,15817.982
ITA,1982,13680.574
ITA,1983,24779.787
ITA,1984,19039.84
ITA,1985,18538.145
ITA,1986,12465.987
ITA,1987,-1679.601
ITA,1988,-3370.432
ITA,1989,-3706.897
ITA,1990,-12521.29
ITA,1991,-22334.369
ITA,1992,-23502.387
ITA,1993,32030.991
ITA,1994,39118.364
ITA,1995,52344.932
ITA,1996,61029.089
ITA,1997,48208.446
ITA,1998,28726.62
ITA,1999,8890.527
ITA,2000,14048.763
ITA,2001,14990.851
ITA,2002,277.156
ITA,2003,-8426.418
ITA,2004,-2249.87
ITA,2005,-3328.317
